id,ortho,cgram,genre,nombre,freqfilms,verper,cvcv,iddersyll,nbsyll,haspir
6093,animait,VER,,,0.46,3s,V,2974,3,-1
6094,animal,ADJ,m,s,3.34,,V,3047,3,-1
6095,animal,NOM,m,s,36.89,,V,3047,3,-1
6096,animal-roi,NOM,m,s,0.0,,V,369,4,-1
6097,animalcule,NOM,m,s,0.0,,V,2623,4,-1
6098,animale,ADJ,f,s,1.96,,V,3047,3,-1
6099,animalement,ADV,,,0.0,,V,2964,5,-1
6100,animalerie,NOM,f,s,0.42,,V,268,5,-1
6101,animales,ADJ,f,p,1.03,,V,3047,3,-1
6102,animalier,ADJ,m,s,0.32,,V,2860,4,-1
6103,animalier,NOM,m,s,0.0,,V,2860,4,-1
6104,animaliers,ADJ,m,p,0.12,,V,2860,4,-1
6105,animaliers,NOM,m,p,0.0,,V,2860,4,-1
6106,animalisait,VER,,,0.0,3s,V,5072,5,-1
6107,animalise,VER,,,0.0,3s,V,2823,4,-1
6108,animalité,NOM,f,s,0.01,,V,4605,5,-1
6109,animalière,ADJ,f,s,0.01,,V,2834,4,-1
6110,animalières,ADJ,f,p,0.03,,V,2834,4,-1
6111,animant,VER,,,0.01,,V,2964,3,-1
6112,animas,VER,,,0.03,2s,V,3024,3,-1
6113,animateur,NOM,m,s,1.9,,V,4361,4,-1
6114,animateurs,NOM,m,p,0.12,,V,4361,4,-1
6115,animation,NOM,f,s,1.45,,V,4038,4,-1
6116,animations,NOM,f,p,0.08,,V,4038,4,-1
6117,animatrice,NOM,f,s,0.69,,V,4520,4,-1
6118,animatrices,NOM,f,p,0.0,,V,4520,4,-1
6119,animaux,NOM,m,p,43.62,,V,3112,3,-1
6120,animaux,ADJ,m,,1.79,,V,3112,3,-1
6121,animaux-espions,NOM,m,p,0.01,,V,3666,5,-1
6122,anime,VER,,,1.82,2s-1s-3s,V,3309,2,-1
6123,animent,VER,,,0.12,3p,V,3309,2,-1
6124,animer,VER,,,0.94,,V,3059,3,-1
6125,animeraient,VER,,,0.0,3p,V,185,4,-1
6126,animerait,VER,,,0.0,3s,V,185,4,-1
6127,animes,VER,,,0.07,2s,V,3309,2,-1
6128,animique,ADJ,,s,0.0,,V,3070,3,-1
6129,animisme,NOM,m,s,0.0,,V,3084,3,-1
6130,animiste,ADJ,f,s,0.0,,V,3079,3,-1
6131,animosité,NOM,f,s,1.07,,V,4605,5,-1
6132,animosités,NOM,f,p,0.01,,V,4605,5,-1
6133,animus,NOM,m,,0.02,,V,3158,3,-1
6134,animât,VER,,,0.0,3s,V,3024,3,-1
6135,animèrent,VER,,,0.0,3p,V,2975,3,-1
6136,animé,VER,m,s,1.37,,V,3059,3,-1
6137,animé,ADJ,m,s,2.79,,V,3059,3,-1
6138,animée,VER,f,s,0.37,,V,3059,3,-1
6139,animée,ADJ,f,s,0.35,,V,3059,3,-1
6140,animées,VER,f,p,0.04,,V,3059,3,-1
6141,animées,ADJ,f,p,0.42,,V,3059,3,-1
6142,animés,VER,m,p,0.3,,V,3059,3,-1
6143,animés,ADJ,m,p,2.66,,V,3059,3,-1
6144,anionique,ADJ,m,s,0.01,,V,3305,3,-1
6145,anis,NOM,m,,1.05,,V,3313,2,-1
6146,anise,VER,,,0.1,2s,V,3322,2,-1
6147,anisette,NOM,f,s,0.15,,V,5091,3,-1
6148,anisettes,NOM,f,p,0.0,,V,5091,3,-1
6149,anisé,VER,m,s,0.0,,V,5141,3,-1
6150,anisé,NOM,m,s,0.0,,V,5141,3,-1
6151,anisée,VER,f,s,0.01,,V,5141,3,-1
6152,anisées,VER,f,p,0.0,,V,5141,3,-1
6153,ankh,NOM,m,s,0.07,,V,33,1,-1
6154,ankylosait,VER,,,0.0,3s,V,5072,4,-1
6155,ankylose,NOM,f,s,0.12,,V,2872,3,-1
6156,ankyloser,VER,,,0.0,,V,5141,4,-1
6157,ankyloses,NOM,f,p,0.0,,V,2872,3,-1
6158,ankylosé,VER,m,s,0.0,,V,5141,4,-1
6159,ankylosé,ADJ,m,s,0.11,,V,5141,4,-1
6160,ankylosée,VER,f,s,0.0,,V,5141,4,-1
6161,ankylosée,ADJ,f,s,0.01,,V,5141,4,-1
6162,ankylosées,VER,f,p,0.0,,V,5141,4,-1
6163,ankylosées,ADJ,f,p,0.0,,V,5141,4,-1
6164,ankylosés,VER,m,p,0.0,,V,5141,4,-1
6165,ankylosés,ADJ,m,p,0.0,,V,5141,4,-1
6166,annales,NOM,f,,0.78,,V,3272,2,-1
6167,annamite,ADJ,m,s,0.0,,V,3081,3,-1
6168,annamite,NOM,,s,0.0,,V,3081,3,-1
6169,annamites,NOM,,p,0.0,,V,3081,3,-1
6170,anneau,NOM,m,s,17.59,,V,3363,2,-1
6171,anneaux,NOM,m,p,4.01,,V,3363,2,-1
6172,annelets,NOM,m,p,0.0,,V,2696,3,-1
6173,annelures,NOM,f,p,0.0,,V,2910,3,-1
6174,annelé,VER,m,s,0.0,,V,2794,3,-1
6175,annelé,ADJ,m,s,0.0,,V,2794,3,-1
6176,annelée,ADJ,f,s,0.0,,V,2794,3,-1
6177,annelées,VER,f,p,0.0,,V,2794,3,-1
6178,annelées,ADJ,f,p,0.0,,V,2794,3,-1
6179,annelés,VER,m,p,0.0,,V,2794,3,-1
6180,annelés,ADJ,m,p,0.0,,V,2794,3,-1
6181,annexa,VER,,,0.0,3s,V,3918,3,-1
6182,annexaient,VER,,,0.0,3p,V,3861,3,-1
6183,annexait,VER,,,0.0,3s,V,3861,3,-1
6184,annexant,VER,,,0.02,,V,3848,3,-1
6185,annexe,ADJ,,s,0.71,,V,3221,2,-1
6186,annexe,NOM,f,s,1.27,,V,3221,2,-1
6187,annexe,VER,,,0.18,1s-3s-3s,V,3221,2,-1
6188,annexer,VER,,,0.51,,V,3949,3,-1
6189,annexes,ADJ,,p,0.46,,V,3221,2,-1
6190,annexes,NOM,f,p,0.09,,V,3221,2,-1
6191,annexion,NOM,f,s,0.37,,V,4038,3,-1
6192,annexions,NOM,f,p,0.0,,V,4038,3,-1
6193,annexèrent,VER,,,0.0,3p,V,3863,3,-1
6194,annexé,VER,m,s,0.14,,V,3949,3,-1
6195,annexée,VER,f,s,0.02,,V,3949,3,-1
6196,annexée,ADJ,f,s,0.01,,V,3949,3,-1
6197,annexées,VER,f,p,0.0,,V,3949,3,-1
6198,annexées,ADJ,f,p,0.0,,V,3949,3,-1
6199,annexés,VER,m,p,0.04,,V,3949,3,-1
6200,annexés,ADJ,m,p,0.01,,V,3949,3,-1
6201,annihila,VER,,,0.0,3s,V,2754,4,-1
6202,annihilait,VER,,,0.0,3s,V,2696,4,-1
6203,annihilant,ADJ,m,s,0.0,,V,2686,4,-1
6204,annihilant,VER,,,0.01,,V,2686,4,-1
6205,annihilante,ADJ,f,s,0.0,,V,2695,4,-1
6206,annihilateur,ADJ,m,s,0.12,,V,4361,5,-1
6207,annihilation,NOM,f,s,0.46,,V,4038,5,-1
6208,annihile,VER,,,0.06,2s-3s,V,2118,3,-1
6209,annihilent,VER,,,0.0,3p,V,2118,3,-1
6210,annihiler,VER,,,0.36,,V,2794,4,-1
